epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.2956, device='cuda:0')",0.0,18.5074462890625,"tensor(2.2364, device='cuda:0')",19.433773040771484
0,"tensor(1.6849, device='cuda:0')",0.0,40.52991485595703,"tensor(0.6349, device='cuda:0')",79.24861907958984
1,"tensor(0.4642, device='cuda:0')",0.0,85.44712829589844,"tensor(0.3881, device='cuda:0')",88.1453628540039
2,"tensor(0.3480, device='cuda:0')",0.0,89.51363372802734,"tensor(0.3226, device='cuda:0')",90.84972381591797
3,"tensor(0.3013, device='cuda:0')",0.0,90.96195220947266,"tensor(0.2759, device='cuda:0')",92.10971069335938
4,"tensor(0.2748, device='cuda:0')",0.0,91.82740020751953,"tensor(0.2622, device='cuda:0')",92.28641510009766
5,"tensor(0.2536, device='cuda:0')",0.0,92.49900817871094,"tensor(0.2400, device='cuda:0')",93.02397155761719
6,"tensor(0.2367, device='cuda:0')",0.0,93.07233428955078,"tensor(0.2422, device='cuda:0')",93.03165435791016
7,"tensor(0.2283, device='cuda:0')",0.0,93.41496276855469,"tensor(0.2094, device='cuda:0')",93.95359802246094
8,"tensor(0.2148, device='cuda:0')",0.0,93.78079986572266,"tensor(0.2079, device='cuda:0')",94.1610336303711
9,"tensor(0.2071, device='cuda:0')",0.0,94.04562377929688,"tensor(0.2191, device='cuda:0')",93.56945037841797
10,"tensor(0.2004, device='cuda:0')",0.0,94.23809051513672,"tensor(0.2256, device='cuda:0')",93.53103637695312
11,"tensor(0.1944, device='cuda:0')",0.0,94.38142395019531,"tensor(0.2211, device='cuda:0')",93.83451080322266
12,"tensor(0.1906, device='cuda:0')",0.0,94.47288513183594,"tensor(0.1882, device='cuda:0')",94.86785125732422
13,"tensor(0.1839, device='cuda:0')",0.0,94.78275299072266,"tensor(0.2264, device='cuda:0')",93.47725677490234
14,"tensor(0.1824, device='cuda:0')",0.0,94.80049896240234,"tensor(0.2119, device='cuda:0')",93.97664642333984
15,"tensor(0.1775, device='cuda:0')",0.0,94.9151611328125,"tensor(0.2199, device='cuda:0')",93.92670440673828
16,"tensor(0.1776, device='cuda:0')",0.0,94.93563842773438,"tensor(0.2026, device='cuda:0')",94.31853485107422
17,"tensor(0.1730, device='cuda:0')",0.0,95.02300262451172,"tensor(0.1858, device='cuda:0')",94.91011047363281
18,"tensor(0.1695, device='cuda:0')",0.0,95.15677642822266,"tensor(0.1824, device='cuda:0')",94.97541809082031
19,"tensor(0.1649, device='cuda:0')",0.0,95.2591552734375,"tensor(0.2334, device='cuda:0')",93.47341918945312
20,"tensor(0.1653, device='cuda:0')",0.0,95.32331085205078,"tensor(0.1803, device='cuda:0')",95.07144927978516
21,"tensor(0.1638, device='cuda:0')",0.0,95.34242248535156,"tensor(0.2200, device='cuda:0')",93.7730484008789
22,"tensor(0.1602, device='cuda:0')",0.0,95.44207000732422,"tensor(0.2291, device='cuda:0')",93.6040267944336
23,"tensor(0.1591, device='cuda:0')",0.0,95.53899383544922,"tensor(0.2626, device='cuda:0')",92.42086791992188
24,"tensor(0.1586, device='cuda:0')",0.0,95.461181640625,"tensor(0.1897, device='cuda:0')",94.79486846923828
25,"tensor(0.1560, device='cuda:0')",0.0,95.58130645751953,"tensor(0.2041, device='cuda:0')",94.21096801757812
26,"tensor(0.1531, device='cuda:0')",0.0,95.67003631591797,"tensor(0.1994, device='cuda:0')",94.52212524414062
27,"tensor(0.1536, device='cuda:0')",0.0,95.66458129882812,"tensor(0.1995, device='cuda:0')",94.53365325927734
28,"tensor(0.1513, device='cuda:0')",0.0,95.73283386230469,"tensor(0.1965, device='cuda:0')",94.68346405029297
29,"tensor(0.1483, device='cuda:0')",0.0,95.74784851074219,"tensor(0.1882, device='cuda:0')",94.73724365234375
30,"tensor(0.0985, device='cuda:0')",0.0,97.4787368774414,"tensor(0.1470, device='cuda:0')",96.20467376708984
31,"tensor(0.0833, device='cuda:0')",0.0,97.84184265136719,"tensor(0.1444, device='cuda:0')",96.26229095458984
32,"tensor(0.0762, device='cuda:0')",0.0,98.0097427368164,"tensor(0.1429, device='cuda:0')",96.28150177001953
33,"tensor(0.0693, device='cuda:0')",0.0,98.24726867675781,"tensor(0.1482, device='cuda:0')",96.166259765625
34,"tensor(0.0659, device='cuda:0')",0.0,98.31278991699219,"tensor(0.1509, device='cuda:0')",96.21619415283203
35,"tensor(0.0611, device='cuda:0')",0.0,98.45884704589844,"tensor(0.1531, device='cuda:0')",96.18546295166016
36,"tensor(0.0578, device='cuda:0')",0.0,98.56805419921875,"tensor(0.1619, device='cuda:0')",96.05870056152344
37,"tensor(0.0558, device='cuda:0')",0.0,98.58443450927734,"tensor(0.1604, device='cuda:0')",96.08943176269531
38,"tensor(0.0517, device='cuda:0')",0.0,98.66497039794922,"tensor(0.1601, device='cuda:0')",96.18546295166016
39,"tensor(0.0512, device='cuda:0')",0.0,98.6990966796875,"tensor(0.1672, device='cuda:0')",96.01644134521484
40,"tensor(0.0476, device='cuda:0')",0.0,98.82195281982422,"tensor(0.1756, device='cuda:0')",95.92040252685547
41,"tensor(0.0436, device='cuda:0')",0.0,98.90522766113281,"tensor(0.1847, device='cuda:0')",95.92040252685547
42,"tensor(0.0408, device='cuda:0')",0.0,98.97211456298828,"tensor(0.1825, device='cuda:0')",95.92040252685547
43,"tensor(0.0400, device='cuda:0')",0.0,98.98986053466797,"tensor(0.1887, device='cuda:0')",95.8128433227539
44,"tensor(0.0375, device='cuda:0')",0.0,99.04036712646484,"tensor(0.1837, device='cuda:0')",96.0779037475586
45,"tensor(0.0364, device='cuda:0')",0.0,99.04036712646484,"tensor(0.1919, device='cuda:0')",95.79364013671875
46,"tensor(0.0343, device='cuda:0')",0.0,99.10452270507812,"tensor(0.1955, device='cuda:0')",95.98186492919922
47,"tensor(0.0332, device='cuda:0')",0.0,99.08814239501953,"tensor(0.1905, device='cuda:0')",96.0433349609375
48,"tensor(0.0302, device='cuda:0')",0.0,99.155029296875,"tensor(0.2101, device='cuda:0')",95.73601531982422
49,"tensor(0.0299, device='cuda:0')",0.0,99.1714096069336,"tensor(0.2167, device='cuda:0')",95.7091293334961
50,"tensor(0.0282, device='cuda:0')",0.0,99.22874450683594,"tensor(0.2194, device='cuda:0')",95.75138092041016
51,"tensor(0.0277, device='cuda:0')",0.0,99.21781921386719,"tensor(0.2200, device='cuda:0')",95.86662292480469
