epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.0988, device='cuda:0')",0.0,62.93301010131836,"tensor(0.9928, device='cuda:0')",69.83999633789062
1,"tensor(0.7869, device='cuda:0')",0.0,74.33746337890625,"tensor(0.4428, device='cuda:0')",83.20999908447266
2,"tensor(0.6630, device='cuda:0')",0.0,78.17365264892578,"tensor(0.4208, device='cuda:0')",86.25
3,"tensor(0.6304, device='cuda:0')",0.0,78.94258117675781,"tensor(0.3203, device='cuda:0')",89.16000366210938
4,"tensor(0.6045, device='cuda:0')",0.0,79.81502532958984,"tensor(0.3848, device='cuda:0')",87.16000366210938
5,"tensor(0.5698, device='cuda:0')",0.0,80.91316986083984,"tensor(0.3684, device='cuda:0')",87.95999908447266
6,"tensor(0.5585, device='cuda:0')",0.0,80.93195343017578,"tensor(0.3659, device='cuda:0')",86.91000366210938
7,"tensor(0.5516, device='cuda:0')",0.0,81.34215545654297,"tensor(0.3378, device='cuda:0')",88.19000244140625
8,"tensor(0.5306, device='cuda:0')",0.0,81.80451965332031,"tensor(0.2544, device='cuda:0')",91.83000183105469
9,"tensor(0.5267, device='cuda:0')",0.0,81.78239440917969,"tensor(0.2499, device='cuda:0')",91.12999725341797
10,"tensor(0.4948, device='cuda:0')",0.0,82.76903533935547,"tensor(0.2443, device='cuda:0')",91.66000366210938
11,"tensor(0.4756, device='cuda:0')",0.0,83.8858413696289,"tensor(0.2670, device='cuda:0')",90.66999816894531
12,"tensor(0.4922, device='cuda:0')",0.0,82.81974029541016,"tensor(0.2430, device='cuda:0')",92.08999633789062
13,"tensor(0.4793, device='cuda:0')",0.0,83.53887176513672,"tensor(0.2329, device='cuda:0')",92.62000274658203
14,"tensor(0.4717, device='cuda:0')",0.0,83.81716918945312,"tensor(0.2306, device='cuda:0')",92.2699966430664
15,"tensor(0.4827, device='cuda:0')",0.0,83.1181411743164,"tensor(0.2514, device='cuda:0')",91.36000061035156
16,"tensor(0.4547, device='cuda:0')",0.0,84.23545837402344,"tensor(0.2127, device='cuda:0')",93.02999877929688
17,"tensor(0.4568, device='cuda:0')",0.0,84.14566040039062,"tensor(0.2229, device='cuda:0')",93.08000183105469
18,"tensor(0.4756, device='cuda:0')",0.0,83.07251739501953,"tensor(0.2201, device='cuda:0')",93.19000244140625
19,"tensor(0.4695, device='cuda:0')",0.0,83.2719497680664,"tensor(0.2155, device='cuda:0')",93.5
20,"tensor(0.4717, device='cuda:0')",0.0,83.218017578125,"tensor(0.2221, device='cuda:0')",93.2699966430664
21,"tensor(0.4600, device='cuda:0')",0.0,83.89683532714844,"tensor(0.2071, device='cuda:0')",93.38999938964844
22,"tensor(0.4350, device='cuda:0')",0.0,85.00231170654297,"tensor(0.2289, device='cuda:0')",92.4800033569336
