epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.6016, device='cuda:0')",0.0,41.040000915527344,"tensor(1.3453, device='cuda:0')",51.5
1,"tensor(1.0645, device='cuda:0')",0.0,61.83399963378906,"tensor(1.0315, device='cuda:0')",65.58999633789062
2,"tensor(0.8092, device='cuda:0')",0.0,71.56800079345703,"tensor(0.7412, device='cuda:0')",74.6500015258789
3,"tensor(0.6488, device='cuda:0')",0.0,77.55799865722656,"tensor(0.6980, device='cuda:0')",76.19999694824219
4,"tensor(0.5507, device='cuda:0')",0.0,80.9219970703125,"tensor(0.5793, device='cuda:0')",80.25
5,"tensor(0.4827, device='cuda:0')",0.0,83.55599975585938,"tensor(0.6056, device='cuda:0')",80.91000366210938
6,"tensor(0.4321, device='cuda:0')",0.0,85.15799713134766,"tensor(0.5373, device='cuda:0')",82.20999908447266
7,"tensor(0.3876, device='cuda:0')",0.0,86.63400268554688,"tensor(0.5229, device='cuda:0')",82.77999877929688
8,"tensor(0.3599, device='cuda:0')",0.0,87.69400024414062,"tensor(0.4729, device='cuda:0')",84.62999725341797
9,"tensor(0.3276, device='cuda:0')",0.0,88.73999786376953,"tensor(0.4496, device='cuda:0')",85.23999786376953
10,"tensor(0.3079, device='cuda:0')",0.0,89.36000061035156,"tensor(0.4529, device='cuda:0')",85.5199966430664
11,"tensor(0.2936, device='cuda:0')",0.0,89.61399841308594,"tensor(0.4799, device='cuda:0')",84.18000030517578
12,"tensor(0.2698, device='cuda:0')",0.0,90.56600189208984,"tensor(0.3719, device='cuda:0')",87.86000061035156
13,"tensor(0.2564, device='cuda:0')",0.0,91.16799926757812,"tensor(0.4031, device='cuda:0')",87.1500015258789
14,"tensor(0.2395, device='cuda:0')",0.0,91.55400085449219,"tensor(0.3528, device='cuda:0')",88.43000030517578
15,"tensor(0.2278, device='cuda:0')",0.0,92.04399871826172,"tensor(0.3877, device='cuda:0')",87.72000122070312
16,"tensor(0.2195, device='cuda:0')",0.0,92.41400146484375,"tensor(0.3970, device='cuda:0')",87.41999816894531
17,"tensor(0.2110, device='cuda:0')",0.0,92.68599700927734,"tensor(0.3464, device='cuda:0')",89.08999633789062
18,"tensor(0.1991, device='cuda:0')",0.0,93.12000274658203,"tensor(0.4426, device='cuda:0')",86.98999786376953
19,"tensor(0.1964, device='cuda:0')",0.0,93.12200164794922,"tensor(0.3452, device='cuda:0')",88.91999816894531
20,"tensor(0.1922, device='cuda:0')",0.0,93.35800170898438,"tensor(0.3214, device='cuda:0')",89.95999908447266
21,"tensor(0.1775, device='cuda:0')",0.0,93.70600128173828,"tensor(0.3326, device='cuda:0')",89.52999877929688
22,"tensor(0.1758, device='cuda:0')",0.0,93.85399627685547,"tensor(0.3605, device='cuda:0')",88.66999816894531
23,"tensor(0.1720, device='cuda:0')",0.0,93.9540023803711,"tensor(0.4655, device='cuda:0')",86.55999755859375
24,"tensor(0.1670, device='cuda:0')",0.0,94.24199676513672,"tensor(0.3994, device='cuda:0')",88.2300033569336
25,"tensor(0.1633, device='cuda:0')",0.0,94.2959976196289,"tensor(0.3367, device='cuda:0')",89.48999786376953
26,"tensor(0.1588, device='cuda:0')",0.0,94.47599792480469,"tensor(0.4438, device='cuda:0')",87.01000213623047
27,"tensor(0.1529, device='cuda:0')",0.0,94.60600280761719,"tensor(0.3724, device='cuda:0')",89.0999984741211
28,"tensor(0.1506, device='cuda:0')",0.0,94.7760009765625,"tensor(0.3393, device='cuda:0')",89.77999877929688
29,"tensor(0.1435, device='cuda:0')",0.0,94.97000122070312,"tensor(0.4143, device='cuda:0')",88.08000183105469
30,"tensor(0.1472, device='cuda:0')",0.0,94.87000274658203,"tensor(0.3439, device='cuda:0')",89.69999694824219
31,"tensor(0.1374, device='cuda:0')",0.0,95.19999694824219,"tensor(0.4068, device='cuda:0')",88.80999755859375
32,"tensor(0.1393, device='cuda:0')",0.0,95.16600036621094,"tensor(0.4094, device='cuda:0')",88.80000305175781
33,"tensor(0.1366, device='cuda:0')",0.0,95.16200256347656,"tensor(0.3940, device='cuda:0')",88.95999908447266
34,"tensor(0.1352, device='cuda:0')",0.0,95.24400329589844,"tensor(0.4361, device='cuda:0')",87.58000183105469
35,"tensor(0.1270, device='cuda:0')",0.0,95.53399658203125,"tensor(0.3572, device='cuda:0')",89.93000030517578
0,"tensor(1.5720, device='cuda:0')",0.0,41.99800109863281,"tensor(1.5072, device='cuda:0')",51.90999984741211
1,"tensor(0.9855, device='cuda:0')",0.0,64.63400268554688,"tensor(0.9281, device='cuda:0')",67.41000366210938
2,"tensor(0.8523, device='cuda:0')",0.0,69.89199829101562,"tensor(0.8742, device='cuda:0')",69.88999938964844
3,"tensor(0.7615, device='cuda:0')",0.0,73.0199966430664,"tensor(0.7815, device='cuda:0')",72.86000061035156
4,"tensor(0.6828, device='cuda:0')",0.0,75.95999908447266,"tensor(0.6952, device='cuda:0')",76.3499984741211
5,"tensor(0.6121, device='cuda:0')",0.0,78.7300033569336,"tensor(0.7304, device='cuda:0')",75.25
6,"tensor(0.5538, device='cuda:0')",0.0,80.71800231933594,"tensor(0.6433, device='cuda:0')",78.63999938964844
7,"tensor(0.5121, device='cuda:0')",0.0,82.22799682617188,"tensor(0.5621, device='cuda:0')",81.55999755859375
8,"tensor(0.4652, device='cuda:0')",0.0,83.96399688720703,"tensor(0.5494, device='cuda:0')",81.63999938964844
9,"tensor(0.4324, device='cuda:0')",0.0,85.00599670410156,"tensor(0.5318, device='cuda:0')",82.27999877929688
10,"tensor(0.4015, device='cuda:0')",0.0,86.06800079345703,"tensor(0.5522, device='cuda:0')",82.04000091552734
11,"tensor(0.3777, device='cuda:0')",0.0,86.9000015258789,"tensor(0.5017, device='cuda:0')",83.5999984741211
12,"tensor(0.3550, device='cuda:0')",0.0,87.6719970703125,"tensor(0.4433, device='cuda:0')",85.22000122070312
13,"tensor(0.3273, device='cuda:0')",0.0,88.55999755859375,"tensor(0.4313, device='cuda:0')",85.88999938964844
14,"tensor(0.3063, device='cuda:0')",0.0,89.31800079345703,"tensor(0.5123, device='cuda:0')",84.4800033569336
15,"tensor(0.2929, device='cuda:0')",0.0,89.81600189208984,"tensor(0.5263, device='cuda:0')",83.87999725341797
16,"tensor(0.2703, device='cuda:0')",0.0,90.61599731445312,"tensor(0.3930, device='cuda:0')",87.48999786376953
17,"tensor(0.2581, device='cuda:0')",0.0,91.0459976196289,"tensor(0.4083, device='cuda:0')",87.55999755859375
18,"tensor(0.2391, device='cuda:0')",0.0,91.55799865722656,"tensor(0.4149, device='cuda:0')",87.47000122070312
19,"tensor(0.2313, device='cuda:0')",0.0,91.93800354003906,"tensor(0.4693, device='cuda:0')",85.5
20,"tensor(0.2169, device='cuda:0')",0.0,92.36000061035156,"tensor(0.4175, device='cuda:0')",87.1500015258789
21,"tensor(0.2035, device='cuda:0')",0.0,92.83999633789062,"tensor(0.3709, device='cuda:0')",88.19999694824219
22,"tensor(0.1959, device='cuda:0')",0.0,93.25199890136719,"tensor(0.4128, device='cuda:0')",87.72000122070312
23,"tensor(0.1813, device='cuda:0')",0.0,93.75,"tensor(0.3845, device='cuda:0')",88.44000244140625
24,"tensor(0.1731, device='cuda:0')",0.0,93.91200256347656,"tensor(0.3979, device='cuda:0')",88.05000305175781
25,"tensor(0.1637, device='cuda:0')",0.0,94.24199676513672,"tensor(0.3935, device='cuda:0')",88.27999877929688
26,"tensor(0.1569, device='cuda:0')",0.0,94.49199676513672,"tensor(0.3812, device='cuda:0')",89.12000274658203
27,"tensor(0.1443, device='cuda:0')",0.0,94.84400177001953,"tensor(0.4063, device='cuda:0')",88.4000015258789
28,"tensor(0.1389, device='cuda:0')",0.0,95.04399871826172,"tensor(0.4520, device='cuda:0')",87.7699966430664
29,"tensor(0.1324, device='cuda:0')",0.0,95.36599731445312,"tensor(0.3843, device='cuda:0')",89.33999633789062
30,"tensor(0.1282, device='cuda:0')",0.0,95.46199798583984,"tensor(0.4064, device='cuda:0')",88.62999725341797
31,"tensor(0.0783, device='cuda:0')",0.0,97.28600311279297,"tensor(0.3185, device='cuda:0')",91.4800033569336
32,"tensor(0.0567, device='cuda:0')",0.0,98.0260009765625,"tensor(0.3378, device='cuda:0')",91.47000122070312
33,"tensor(0.0488, device='cuda:0')",0.0,98.34200286865234,"tensor(0.3604, device='cuda:0')",91.41000366210938
34,"tensor(0.0453, device='cuda:0')",0.0,98.41400146484375,"tensor(0.3705, device='cuda:0')",91.38999938964844
35,"tensor(0.0413, device='cuda:0')",0.0,98.56800079345703,"tensor(0.3853, device='cuda:0')",91.38999938964844
36,"tensor(0.0388, device='cuda:0')",0.0,98.65799713134766,"tensor(0.3860, device='cuda:0')",91.51000213623047
37,"tensor(0.0344, device='cuda:0')",0.0,98.79000091552734,"tensor(0.3908, device='cuda:0')",91.51000213623047
38,"tensor(0.0347, device='cuda:0')",0.0,98.7760009765625,"tensor(0.3962, device='cuda:0')",91.52999877929688
39,"tensor(0.0348, device='cuda:0')",0.0,98.83999633789062,"tensor(0.3968, device='cuda:0')",91.58000183105469
40,"tensor(0.0307, device='cuda:0')",0.0,98.89600372314453,"tensor(0.4073, device='cuda:0')",91.68000030517578
41,"tensor(0.0283, device='cuda:0')",0.0,98.98799896240234,"tensor(0.4087, device='cuda:0')",91.83999633789062
42,"tensor(0.0294, device='cuda:0')",0.0,98.98799896240234,"tensor(0.4091, device='cuda:0')",91.47000122070312
43,"tensor(0.0253, device='cuda:0')",0.0,99.0999984741211,"tensor(0.4136, device='cuda:0')",91.56999969482422
44,"tensor(0.0261, device='cuda:0')",0.0,99.0780029296875,"tensor(0.4268, device='cuda:0')",91.45999908447266
45,"tensor(0.0251, device='cuda:0')",0.0,99.08599853515625,"tensor(0.4197, device='cuda:0')",91.44999694824219
46,"tensor(0.0229, device='cuda:0')",0.0,99.22799682617188,"tensor(0.4290, device='cuda:0')",91.58999633789062
47,"tensor(0.0231, device='cuda:0')",0.0,99.20600128173828,"tensor(0.4357, device='cuda:0')",91.51000213623047
48,"tensor(0.0217, device='cuda:0')",0.0,99.27999877929688,"tensor(0.4322, device='cuda:0')",91.66000366210938
49,"tensor(0.0220, device='cuda:0')",0.0,99.23400115966797,"tensor(0.4314, device='cuda:0')",91.70999908447266
50,"tensor(0.0198, device='cuda:0')",0.0,99.34600067138672,"tensor(0.4388, device='cuda:0')",91.55000305175781
51,"tensor(0.0188, device='cuda:0')",0.0,99.3499984741211,"tensor(0.4410, device='cuda:0')",91.76000213623047
52,"tensor(0.0174, device='cuda:0')",0.0,99.39399719238281,"tensor(0.4426, device='cuda:0')",91.55999755859375
53,"tensor(0.0182, device='cuda:0')",0.0,99.37000274658203,"tensor(0.4416, device='cuda:0')",91.70999908447266
54,"tensor(0.0169, device='cuda:0')",0.0,99.41999816894531,"tensor(0.4523, device='cuda:0')",91.58999633789062
55,"tensor(0.0165, device='cuda:0')",0.0,99.44200134277344,"tensor(0.4432, device='cuda:0')",91.79000091552734
56,"tensor(0.0171, device='cuda:0')",0.0,99.44999694824219,"tensor(0.4591, device='cuda:0')",91.54000091552734
57,"tensor(0.0142, device='cuda:0')",0.0,99.54000091552734,"tensor(0.4521, device='cuda:0')",91.58999633789062
58,"tensor(0.0141, device='cuda:0')",0.0,99.5479965209961,"tensor(0.4561, device='cuda:0')",91.63999938964844
59,"tensor(0.0143, device='cuda:0')",0.0,99.51000213623047,"tensor(0.4697, device='cuda:0')",91.62000274658203
60,"tensor(0.0137, device='cuda:0')",0.0,99.5479965209961,"tensor(0.4645, device='cuda:0')",91.47000122070312
61,"tensor(0.0130, device='cuda:0')",0.0,99.57599639892578,"tensor(0.4645, device='cuda:0')",91.56999969482422
62,"tensor(0.0112, device='cuda:0')",0.0,99.66200256347656,"tensor(0.4668, device='cuda:0')",91.58000183105469
63,"tensor(0.0107, device='cuda:0')",0.0,99.6780014038086,"tensor(0.4634, device='cuda:0')",91.62999725341797
64,"tensor(0.0111, device='cuda:0')",0.0,99.66600036621094,"tensor(0.4589, device='cuda:0')",91.69000244140625
65,"tensor(0.0117, device='cuda:0')",0.0,99.65799713134766,"tensor(0.4633, device='cuda:0')",91.68000030517578
66,"tensor(0.0111, device='cuda:0')",0.0,99.6500015258789,"tensor(0.4634, device='cuda:0')",91.69999694824219
67,"tensor(0.0111, device='cuda:0')",0.0,99.66400146484375,"tensor(0.4617, device='cuda:0')",91.63999938964844
68,"tensor(0.0106, device='cuda:0')",0.0,99.69599914550781,"tensor(0.4615, device='cuda:0')",91.69000244140625
69,"tensor(0.0108, device='cuda:0')",0.0,99.66999816894531,"tensor(0.4603, device='cuda:0')",91.66999816894531
70,"tensor(0.0100, device='cuda:0')",0.0,99.70600128173828,"tensor(0.4596, device='cuda:0')",91.68000030517578
71,"tensor(0.0100, device='cuda:0')",0.0,99.65799713134766,"tensor(0.4601, device='cuda:0')",91.66999816894531
72,"tensor(0.0110, device='cuda:0')",0.0,99.65599822998047,"tensor(0.4631, device='cuda:0')",91.75
73,"tensor(0.0113, device='cuda:0')",0.0,99.63400268554688,"tensor(0.4618, device='cuda:0')",91.66000366210938
74,"tensor(0.0104, device='cuda:0')",0.0,99.68800354003906,"tensor(0.4635, device='cuda:0')",91.66999816894531
75,"tensor(0.0105, device='cuda:0')",0.0,99.68599700927734,"tensor(0.4595, device='cuda:0')",91.70999908447266
76,"tensor(0.0097, device='cuda:0')",0.0,99.7020034790039,"tensor(0.4587, device='cuda:0')",91.91999816894531
77,"tensor(0.0100, device='cuda:0')",0.0,99.70600128173828,"tensor(0.4592, device='cuda:0')",91.7300033569336
78,"tensor(0.0090, device='cuda:0')",0.0,99.73400115966797,"tensor(0.4690, device='cuda:0')",91.72000122070312
79,"tensor(0.0100, device='cuda:0')",0.0,99.68800354003906,"tensor(0.4641, device='cuda:0')",91.6500015258789
80,"tensor(0.0091, device='cuda:0')",0.0,99.74199676513672,"tensor(0.4637, device='cuda:0')",91.54000091552734
81,"tensor(0.0096, device='cuda:0')",0.0,99.71399688720703,"tensor(0.4604, device='cuda:0')",91.73999786376953
82,"tensor(0.0086, device='cuda:0')",0.0,99.73400115966797,"tensor(0.4647, device='cuda:0')",91.68000030517578
83,"tensor(0.0090, device='cuda:0')",0.0,99.74400329589844,"tensor(0.4613, device='cuda:0')",91.8499984741211
84,"tensor(0.0092, device='cuda:0')",0.0,99.7020034790039,"tensor(0.4661, device='cuda:0')",91.7300033569336
85,"tensor(0.0090, device='cuda:0')",0.0,99.74400329589844,"tensor(0.4604, device='cuda:0')",91.83000183105469
86,"tensor(0.0100, device='cuda:0')",0.0,99.68800354003906,"tensor(0.4612, device='cuda:0')",91.79000091552734
87,"tensor(0.0091, device='cuda:0')",0.0,99.72599792480469,"tensor(0.4637, device='cuda:0')",91.68000030517578
88,"tensor(0.0093, device='cuda:0')",0.0,99.70999908447266,"tensor(0.4619, device='cuda:0')",91.75
89,"tensor(0.0092, device='cuda:0')",0.0,99.72000122070312,"tensor(0.4655, device='cuda:0')",91.68000030517578
