epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.0643, device='cuda:0')",0.0,27.39711570739746,"tensor(1.4043, device='cuda:0')",52.685157775878906
1,"tensor(1.2539, device='cuda:0')",0.0,61.48278045654297,"tensor(0.8156, device='cuda:0')",73.60172271728516
2,"tensor(0.9710, device='cuda:0')",0.0,72.0343246459961,"tensor(0.4430, device='cuda:0')",88.73310089111328
3,"tensor(0.8510, device='cuda:0')",0.0,75.45072174072266,"tensor(0.3696, device='cuda:0')",89.5167465209961
4,"tensor(0.8105, device='cuda:0')",0.0,76.6996078491211,"tensor(0.2945, device='cuda:0')",91.66026306152344
5,"tensor(0.7797, device='cuda:0')",0.0,78.05616760253906,"tensor(0.3418, device='cuda:0')",91.66026306152344
6,"tensor(0.7870, device='cuda:0')",0.0,77.70587921142578,"tensor(0.3042, device='cuda:0')",91.62953186035156
7,"tensor(0.7267, device='cuda:0')",0.0,79.453125,"tensor(0.2644, device='cuda:0')",93.6270751953125
8,"tensor(0.7772, device='cuda:0')",0.0,78.08980560302734,"tensor(0.2479, device='cuda:0')",93.62322998046875
9,"tensor(0.7253, device='cuda:0')",0.0,79.57413482666016,"tensor(0.2352, device='cuda:0')",94.07652282714844
10,"tensor(0.7115, device='cuda:0')",0.0,79.85987091064453,"tensor(0.3529, device='cuda:0')",93.070068359375
11,"tensor(0.6912, device='cuda:0')",0.0,80.6912841796875,"tensor(0.2279, device='cuda:0')",94.372314453125
12,"tensor(0.7133, device='cuda:0')",0.0,79.96253204345703,"tensor(0.2296, device='cuda:0')",94.27243041992188
13,"tensor(0.7105, device='cuda:0')",0.0,80.20706939697266,"tensor(0.2273, device='cuda:0')",94.21481323242188
14,"tensor(0.6630, device='cuda:0')",0.0,81.63368225097656,"tensor(0.2744, device='cuda:0')",93.26213836669922
15,"tensor(0.6736, device='cuda:0')",0.0,81.23660278320312,"tensor(0.2477, device='cuda:0')",94.87937927246094
16,"tensor(0.6654, device='cuda:0')",0.0,81.41290283203125,"tensor(0.2451, device='cuda:0')",93.6040267944336
17,"tensor(0.6956, device='cuda:0')",0.0,80.65656280517578,"tensor(0.2126, device='cuda:0')",94.57975006103516
18,"tensor(0.7006, device='cuda:0')",0.0,80.38851928710938,"tensor(0.2986, device='cuda:0')",93.67700958251953
19,"tensor(0.6677, device='cuda:0')",0.0,81.3536376953125,"tensor(0.2348, device='cuda:0')",94.46066284179688
20,"tensor(0.7015, device='cuda:0')",0.0,80.44248962402344,"tensor(0.2658, device='cuda:0')",94.0188980102539
21,"tensor(0.6481, device='cuda:0')",0.0,81.93976593017578,"tensor(0.1939, device='cuda:0')",95.1329116821289
22,"tensor(0.6467, device='cuda:0')",0.0,82.18394470214844,"tensor(0.2611, device='cuda:0')",94.59895324707031
23,"tensor(0.6887, device='cuda:0')",0.0,80.88002014160156,"tensor(0.2519, device='cuda:0')",94.2839584350586
24,"tensor(0.6489, device='cuda:0')",0.0,81.88575744628906,"tensor(0.2968, device='cuda:0')",93.10848236083984
25,"tensor(0.6672, device='cuda:0')",0.0,81.53170776367188,"tensor(0.2421, device='cuda:0')",94.42224884033203
26,"tensor(0.6127, device='cuda:0')",0.0,83.20441436767578,"tensor(0.2086, device='cuda:0')",94.31468963623047
27,"tensor(0.6740, device='cuda:0')",0.0,81.41075897216797,"tensor(0.2006, device='cuda:0')",94.83328247070312
28,"tensor(0.6704, device='cuda:0')",0.0,81.4406967163086,"tensor(0.2301, device='cuda:0')",94.84864807128906
29,"tensor(0.6710, device='cuda:0')",0.0,81.4216079711914,"tensor(0.2107, device='cuda:0')",94.49907684326172
30,"tensor(0.5656, device='cuda:0')",0.0,84.62788391113281,"tensor(0.1617, device='cuda:0')",96.69253540039062
31,"tensor(0.5917, device='cuda:0')",0.0,83.7542495727539,"tensor(0.1878, device='cuda:0')",96.48509216308594
32,"tensor(0.5571, device='cuda:0')",0.0,84.70418548583984,"tensor(0.1527, device='cuda:0')",96.75399780273438
33,"tensor(0.5568, device='cuda:0')",0.0,84.89647674560547,"tensor(0.1418, device='cuda:0')",96.75015258789062
34,"tensor(0.5677, device='cuda:0')",0.0,84.51891326904297,"tensor(0.1402, device='cuda:0')",96.74246978759766
35,"tensor(0.5505, device='cuda:0')",0.0,85.19904327392578,"tensor(0.1593, device='cuda:0')",96.83850860595703
36,"tensor(0.5575, device='cuda:0')",0.0,84.91387939453125,"tensor(0.1456, device='cuda:0')",96.87307739257812
37,"tensor(0.5405, device='cuda:0')",0.0,85.24896240234375,"tensor(0.1654, device='cuda:0')",96.9268569946289
38,"tensor(0.5488, device='cuda:0')",0.0,85.2467269897461,"tensor(0.1632, device='cuda:0')",96.75015258789062
39,"tensor(0.5623, device='cuda:0')",0.0,85.03382110595703,"tensor(0.1509, device='cuda:0')",96.71942138671875
40,"tensor(0.5436, device='cuda:0')",0.0,85.54044342041016,"tensor(0.1591, device='cuda:0')",96.88844299316406
41,"tensor(0.5764, device='cuda:0')",0.0,84.3576889038086,"tensor(0.1392, device='cuda:0')",96.91533660888672
42,"tensor(0.5412, device='cuda:0')",0.0,85.28730773925781,"tensor(0.1447, device='cuda:0')",97.00753021240234
43,"tensor(0.5432, device='cuda:0')",0.0,85.30306243896484,"tensor(0.1444, device='cuda:0')",97.0036849975586
44,"tensor(0.5436, device='cuda:0')",0.0,85.33390808105469,"tensor(0.1436, device='cuda:0')",96.8231430053711
45,"tensor(0.5515, device='cuda:0')",0.0,84.95950317382812,"tensor(0.1518, device='cuda:0')",96.88844299316406
46,"tensor(0.5513, device='cuda:0')",0.0,85.34490203857422,"tensor(0.1475, device='cuda:0')",96.98448181152344
47,"tensor(0.5180, device='cuda:0')",0.0,86.26937103271484,"tensor(0.1374, device='cuda:0')",97.03057861328125
48,"tensor(0.5630, device='cuda:0')",0.0,84.79740142822266,"tensor(0.1714, device='cuda:0')",96.85002899169922
49,"tensor(0.5412, device='cuda:0')",0.0,85.34375762939453,"tensor(0.1584, device='cuda:0')",96.8692398071289
50,"tensor(0.5393, device='cuda:0')",0.0,85.439697265625,"tensor(0.1490, device='cuda:0')",96.84619140625
51,"tensor(0.5290, device='cuda:0')",0.0,85.85974884033203,"tensor(0.1318, device='cuda:0')",96.87307739257812
52,"tensor(0.5364, device='cuda:0')",0.0,85.28716278076172,"tensor(0.1258, device='cuda:0')",96.89997100830078
53,"tensor(0.5670, device='cuda:0')",0.0,84.66976165771484,"tensor(0.1463, device='cuda:0')",96.85771179199219
54,"tensor(0.5583, device='cuda:0')",0.0,84.76197814941406,"tensor(0.1533, device='cuda:0')",96.96143341064453
55,"tensor(0.5174, device='cuda:0')",0.0,86.28024291992188,"tensor(0.1355, device='cuda:0')",96.98831939697266
56,"tensor(0.5021, device='cuda:0')",0.0,86.5257797241211,"tensor(0.1490, device='cuda:0')",96.84619140625
57,"tensor(0.5447, device='cuda:0')",0.0,85.14960479736328,"tensor(0.1502, device='cuda:0')",96.9268569946289
58,"tensor(0.5344, device='cuda:0')",0.0,85.50008392333984,"tensor(0.1789, device='cuda:0')",96.58881378173828
59,"tensor(0.5214, device='cuda:0')",0.0,86.052490234375,"tensor(0.1550, device='cuda:0')",96.83850860595703
60,"tensor(0.5503, device='cuda:0')",0.0,84.97885131835938,"tensor(0.1557, device='cuda:0')",96.98831939697266
61,"tensor(0.5218, device='cuda:0')",0.0,86.04236602783203,"tensor(0.1836, device='cuda:0')",97.03826141357422
62,"tensor(0.5097, device='cuda:0')",0.0,86.34474182128906,"tensor(0.1712, device='cuda:0')",97.01905059814453
