epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.4858, device='cuda:0')",0.0,20.128000259399414,"tensor(1.8511, device='cuda:0')",31.010000228881836
1,"tensor(1.7583, device='cuda:0')",0.0,34.71799850463867,"tensor(1.6523, device='cuda:0')",38.86000061035156
2,"tensor(1.5606, device='cuda:0')",0.0,42.74399948120117,"tensor(1.4582, device='cuda:0')",46.95000076293945
3,"tensor(1.3836, device='cuda:0')",0.0,49.79800033569336,"tensor(1.3003, device='cuda:0')",52.45000076293945
4,"tensor(1.2328, device='cuda:0')",0.0,55.25199890136719,"tensor(1.1340, device='cuda:0')",59.81999969482422
5,"tensor(1.0925, device='cuda:0')",0.0,60.79399871826172,"tensor(1.0586, device='cuda:0')",63.47999954223633
6,"tensor(0.9686, device='cuda:0')",0.0,65.60800170898438,"tensor(0.9648, device='cuda:0')",66.30000305175781
7,"tensor(0.8754, device='cuda:0')",0.0,68.98400115966797,"tensor(0.9432, device='cuda:0')",67.80999755859375
8,"tensor(0.7998, device='cuda:0')",0.0,71.66799926757812,"tensor(0.8357, device='cuda:0')",71.22000122070312
9,"tensor(0.7393, device='cuda:0')",0.0,73.9540023803711,"tensor(0.7592, device='cuda:0')",73.88999938964844
10,"tensor(0.6822, device='cuda:0')",0.0,75.86000061035156,"tensor(0.7008, device='cuda:0')",76.38999938964844
11,"tensor(0.6412, device='cuda:0')",0.0,77.33799743652344,"tensor(0.6623, device='cuda:0')",76.91999816894531
12,"tensor(0.5961, device='cuda:0')",0.0,79.06400299072266,"tensor(0.6337, device='cuda:0')",78.16999816894531
13,"tensor(0.5494, device='cuda:0')",0.0,80.86799621582031,"tensor(0.6570, device='cuda:0')",78.19999694824219
14,"tensor(0.5129, device='cuda:0')",0.0,82.2699966430664,"tensor(0.6156, device='cuda:0')",79.36000061035156
15,"tensor(0.4815, device='cuda:0')",0.0,83.31999969482422,"tensor(0.5324, device='cuda:0')",81.91000366210938
16,"tensor(0.4525, device='cuda:0')",0.0,84.37200164794922,"tensor(0.5264, device='cuda:0')",82.45999908447266
17,"tensor(0.4287, device='cuda:0')",0.0,85.01799774169922,"tensor(0.5017, device='cuda:0')",83.2300033569336
18,"tensor(0.4110, device='cuda:0')",0.0,85.84200286865234,"tensor(0.5276, device='cuda:0')",82.66000366210938
19,"tensor(0.3921, device='cuda:0')",0.0,86.36199951171875,"tensor(0.4741, device='cuda:0')",84.47000122070312
20,"tensor(0.3704, device='cuda:0')",0.0,87.15399932861328,"tensor(0.4384, device='cuda:0')",85.05000305175781
21,"tensor(0.3599, device='cuda:0')",0.0,87.43800354003906,"tensor(0.5212, device='cuda:0')",82.94000244140625
22,"tensor(0.3432, device='cuda:0')",0.0,88.11599731445312,"tensor(0.4657, device='cuda:0')",84.97000122070312
23,"tensor(0.3266, device='cuda:0')",0.0,88.5479965209961,"tensor(0.4370, device='cuda:0')",85.80999755859375
24,"tensor(0.3165, device='cuda:0')",0.0,88.9000015258789,"tensor(0.4645, device='cuda:0')",84.80999755859375
25,"tensor(0.3107, device='cuda:0')",0.0,89.13999938964844,"tensor(0.4970, device='cuda:0')",84.56999969482422
26,"tensor(0.3056, device='cuda:0')",0.0,89.40799713134766,"tensor(0.4023, device='cuda:0')",86.58999633789062
27,"tensor(0.2895, device='cuda:0')",0.0,89.91999816894531,"tensor(0.4010, device='cuda:0')",87.06999969482422
28,"tensor(0.2773, device='cuda:0')",0.0,90.38400268554688,"tensor(0.4711, device='cuda:0')",84.33000183105469
29,"tensor(0.2728, device='cuda:0')",0.0,90.53399658203125,"tensor(0.3704, device='cuda:0')",87.87000274658203
30,"tensor(0.1670, device='cuda:0')",0.0,94.2760009765625,"tensor(0.2883, device='cuda:0')",90.77999877929688
31,"tensor(0.1327, device='cuda:0')",0.0,95.55000305175781,"tensor(0.2894, device='cuda:0')",91.08999633789062
32,"tensor(0.1210, device='cuda:0')",0.0,95.78600311279297,"tensor(0.2934, device='cuda:0')",91.08000183105469
33,"tensor(0.1071, device='cuda:0')",0.0,96.30599975585938,"tensor(0.2965, device='cuda:0')",91.30000305175781
34,"tensor(0.1029, device='cuda:0')",0.0,96.4000015258789,"tensor(0.3073, device='cuda:0')",91.22000122070312
35,"tensor(0.0932, device='cuda:0')",0.0,96.71800231933594,"tensor(0.3094, device='cuda:0')",90.97000122070312
36,"tensor(0.0901, device='cuda:0')",0.0,96.80400085449219,"tensor(0.3117, device='cuda:0')",91.01000213623047
37,"tensor(0.0835, device='cuda:0')",0.0,97.08999633789062,"tensor(0.3168, device='cuda:0')",91.2300033569336
38,"tensor(0.0787, device='cuda:0')",0.0,97.1719970703125,"tensor(0.3180, device='cuda:0')",91.29000091552734
39,"tensor(0.0753, device='cuda:0')",0.0,97.43000030517578,"tensor(0.3331, device='cuda:0')",91.23999786376953
40,"tensor(0.0701, device='cuda:0')",0.0,97.45999908447266,"tensor(0.3365, device='cuda:0')",91.33000183105469
41,"tensor(0.0674, device='cuda:0')",0.0,97.63600158691406,"tensor(0.3367, device='cuda:0')",91.27999877929688
42,"tensor(0.0625, device='cuda:0')",0.0,97.78800201416016,"tensor(0.3364, device='cuda:0')",91.31999969482422
43,"tensor(0.0571, device='cuda:0')",0.0,98.05000305175781,"tensor(0.3453, device='cuda:0')",91.37999725341797
44,"tensor(0.0556, device='cuda:0')",0.0,97.99600219726562,"tensor(0.3521, device='cuda:0')",91.58000183105469
