epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.8316, device='cuda:0')",0.0,12.059115409851074,"tensor(2.2096, device='cuda:0')",18.940000534057617
1,"tensor(2.1573, device='cuda:0')",0.0,17.960573196411133,"tensor(1.9944, device='cuda:0')",21.540000915527344
2,"tensor(2.1061, device='cuda:0')",0.0,19.341846466064453,"tensor(1.9096, device='cuda:0')",27.459999084472656
3,"tensor(2.0331, device='cuda:0')",0.0,23.76079559326172,"tensor(1.8286, device='cuda:0')",29.5
4,"tensor(1.9863, device='cuda:0')",0.0,26.79279327392578,"tensor(1.6978, device='cuda:0')",38.18000030517578
5,"tensor(1.9240, device='cuda:0')",0.0,30.743934631347656,"tensor(1.5986, device='cuda:0')",42.599998474121094
6,"tensor(1.8708, device='cuda:0')",0.0,33.81513595581055,"tensor(1.5464, device='cuda:0')",45.189998626708984
7,"tensor(1.8209, device='cuda:0')",0.0,36.54373550415039,"tensor(1.4229, device='cuda:0')",48.88999938964844
8,"tensor(1.7897, device='cuda:0')",0.0,38.145660400390625,"tensor(1.4292, device='cuda:0')",49.540000915527344
9,"tensor(1.7419, device='cuda:0')",0.0,40.29471969604492,"tensor(1.3814, device='cuda:0')",51.400001525878906
10,"tensor(1.7170, device='cuda:0')",0.0,41.7961311340332,"tensor(1.2246, device='cuda:0')",57.119998931884766
11,"tensor(1.6701, device='cuda:0')",0.0,44.02922058105469,"tensor(1.2207, device='cuda:0')",57.2599983215332
12,"tensor(1.6398, device='cuda:0')",0.0,45.24106979370117,"tensor(1.1978, device='cuda:0')",59.209999084472656
13,"tensor(1.6129, device='cuda:0')",0.0,46.69477081298828,"tensor(1.1238, device='cuda:0')",62.13999938964844
14,"tensor(1.5697, device='cuda:0')",0.0,48.57067108154297,"tensor(1.0089, device='cuda:0')",65.5
15,"tensor(1.5557, device='cuda:0')",0.0,49.338043212890625,"tensor(1.1050, device='cuda:0')",65.2699966430664
16,"tensor(1.5064, device='cuda:0')",0.0,51.344398498535156,"tensor(0.9909, device='cuda:0')",67.26000213623047
17,"tensor(1.4880, device='cuda:0')",0.0,52.169036865234375,"tensor(0.9896, device='cuda:0')",68.22000122070312
