epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.4872, device='cuda:0')",0.0,tensor(46.0940),"tensor(1.2623, device='cuda:0')",tensor(56.0800)
1,"tensor(0.9252, device='cuda:0')",0.0,tensor(67.3900),"tensor(0.9625, device='cuda:0')",tensor(68.5100)
2,"tensor(0.6648, device='cuda:0')",0.0,tensor(76.9320),"tensor(0.6897, device='cuda:0')",tensor(76.5100)
3,"tensor(0.5077, device='cuda:0')",0.0,tensor(82.4280),"tensor(0.7101, device='cuda:0')",tensor(75.9300)
4,"tensor(0.4020, device='cuda:0')",0.0,tensor(86.0920),"tensor(0.5410, device='cuda:0')",tensor(81.8300)
5,"tensor(0.3107, device='cuda:0')",0.0,tensor(89.1280),"tensor(0.5836, device='cuda:0')",tensor(81.0600)
6,"tensor(0.2444, device='cuda:0')",0.0,tensor(91.3720),"tensor(0.5652, device='cuda:0')",tensor(82.9000)
7,"tensor(0.1913, device='cuda:0')",0.0,tensor(93.3160),"tensor(0.5298, device='cuda:0')",tensor(83.4100)
8,"tensor(0.1473, device='cuda:0')",0.0,tensor(94.7920),"tensor(0.6260, device='cuda:0')",tensor(82.3200)
9,"tensor(0.1199, device='cuda:0')",0.0,tensor(95.7060),"tensor(0.5927, device='cuda:0')",tensor(83.7100)
10,"tensor(0.0948, device='cuda:0')",0.0,tensor(96.7000),"tensor(0.7236, device='cuda:0')",tensor(82.8500)
11,"tensor(0.0879, device='cuda:0')",0.0,tensor(96.9000),"tensor(0.6196, device='cuda:0')",tensor(83.7500)
12,"tensor(0.0728, device='cuda:0')",0.0,tensor(97.4840),"tensor(0.7553, device='cuda:0')",tensor(82.4000)
13,"tensor(0.0646, device='cuda:0')",0.0,tensor(97.7400),"tensor(0.6892, device='cuda:0')",tensor(83.6700)
14,"tensor(0.0599, device='cuda:0')",0.0,tensor(97.9100),"tensor(0.8497, device='cuda:0')",tensor(81.2100)
15,"tensor(0.0564, device='cuda:0')",0.0,tensor(97.9140),"tensor(0.7121, device='cuda:0')",tensor(84.1100)
16,"tensor(0.0540, device='cuda:0')",0.0,tensor(98.1260),"tensor(0.7100, device='cuda:0')",tensor(83.4400)
17,"tensor(0.0539, device='cuda:0')",0.0,tensor(98.2060),"tensor(0.6359, device='cuda:0')",tensor(84.3100)
18,"tensor(0.0468, device='cuda:0')",0.0,tensor(98.3480),"tensor(0.7017, device='cuda:0')",tensor(84.3200)
19,"tensor(0.0478, device='cuda:0')",0.0,tensor(98.3480),"tensor(0.7548, device='cuda:0')",tensor(83.4600)
20,"tensor(0.0493, device='cuda:0')",0.0,tensor(98.3480),"tensor(0.7763, device='cuda:0')",tensor(82.2500)
21,"tensor(0.0467, device='cuda:0')",0.0,tensor(98.4220),"tensor(0.7307, device='cuda:0')",tensor(83.6900)
22,"tensor(0.0478, device='cuda:0')",0.0,tensor(98.3760),"tensor(0.7429, device='cuda:0')",tensor(83.3800)
23,"tensor(0.0470, device='cuda:0')",0.0,tensor(98.3840),"tensor(0.7194, device='cuda:0')",tensor(83.9900)
24,"tensor(0.0490, device='cuda:0')",0.0,tensor(98.3640),"tensor(0.6617, device='cuda:0')",tensor(84.1500)
25,"tensor(0.0409, device='cuda:0')",0.0,tensor(98.6200),"tensor(0.7472, device='cuda:0')",tensor(83.6000)
26,"tensor(0.0484, device='cuda:0')",0.0,tensor(98.3680),"tensor(0.8128, device='cuda:0')",tensor(82.4800)
27,"tensor(0.0389, device='cuda:0')",0.0,tensor(98.6500),"tensor(0.7628, device='cuda:0')",tensor(83.7500)
28,"tensor(0.0449, device='cuda:0')",0.0,tensor(98.4740),"tensor(0.6982, device='cuda:0')",tensor(83.9100)
29,"tensor(0.0416, device='cuda:0')",0.0,tensor(98.6140),"tensor(0.7135, device='cuda:0')",tensor(83.7000)
30,"tensor(0.0450, device='cuda:0')",0.0,tensor(98.4480),"tensor(0.6545, device='cuda:0')",tensor(84.3200)
31,"tensor(0.0380, device='cuda:0')",0.0,tensor(98.7520),"tensor(0.7357, device='cuda:0')",tensor(84.0600)
32,"tensor(0.0434, device='cuda:0')",0.0,tensor(98.5380),"tensor(0.6981, device='cuda:0')",tensor(84.4700)
33,"tensor(0.0429, device='cuda:0')",0.0,tensor(98.5380),"tensor(0.7109, device='cuda:0')",tensor(83.8400)
34,"tensor(0.0444, device='cuda:0')",0.0,tensor(98.5200),"tensor(0.6902, device='cuda:0')",tensor(83.7900)
35,"tensor(0.0459, device='cuda:0')",0.0,tensor(98.4180),"tensor(0.7478, device='cuda:0')",tensor(83.1800)
36,"tensor(0.0385, device='cuda:0')",0.0,tensor(98.6960),"tensor(0.7887, device='cuda:0')",tensor(83.4100)
37,"tensor(0.0409, device='cuda:0')",0.0,tensor(98.5900),"tensor(0.8674, device='cuda:0')",tensor(82.0200)
38,"tensor(0.0402, device='cuda:0')",0.0,tensor(98.6400),"tensor(0.8417, device='cuda:0')",tensor(81.2900)
39,"tensor(0.0434, device='cuda:0')",0.0,tensor(98.5440),"tensor(0.7564, device='cuda:0')",tensor(82.8000)
40,"tensor(0.0428, device='cuda:0')",0.0,tensor(98.5440),"tensor(0.7343, device='cuda:0')",tensor(82.8600)
41,"tensor(0.0422, device='cuda:0')",0.0,tensor(98.5360),"tensor(0.7069, device='cuda:0')",tensor(84.1100)
42,"tensor(0.0433, device='cuda:0')",0.0,tensor(98.5640),"tensor(0.6605, device='cuda:0')",tensor(84.2500)
43,"tensor(0.0368, device='cuda:0')",0.0,tensor(98.7540),"tensor(0.7126, device='cuda:0')",tensor(83.5200)
44,"tensor(0.0476, device='cuda:0')",0.0,tensor(98.4500),"tensor(0.7232, device='cuda:0')",tensor(83.2800)
45,"tensor(0.0358, device='cuda:0')",0.0,tensor(98.8480),"tensor(0.8109, device='cuda:0')",tensor(82.8100)
46,"tensor(0.0455, device='cuda:0')",0.0,tensor(98.4280),"tensor(0.7253, device='cuda:0')",tensor(83.6300)
47,"tensor(0.0359, device='cuda:0')",0.0,tensor(98.7920),"tensor(0.7206, device='cuda:0')",tensor(82.9900)
48,"tensor(0.0452, device='cuda:0')",0.0,tensor(98.4780),"tensor(0.7593, device='cuda:0')",tensor(81.9900)
49,"tensor(0.0422, device='cuda:0')",0.0,tensor(98.5340),"tensor(0.7485, device='cuda:0')",tensor(83.0300)
50,"tensor(0.0461, device='cuda:0')",0.0,tensor(98.3720),"tensor(0.8646, device='cuda:0')",tensor(80.6200)
51,"tensor(0.0388, device='cuda:0')",0.0,tensor(98.6920),"tensor(0.7194, device='cuda:0')",tensor(83.7000)
52,"tensor(0.0390, device='cuda:0')",0.0,tensor(98.7380),"tensor(0.8023, device='cuda:0')",tensor(82.5500)
53,"tensor(0.0430, device='cuda:0')",0.0,tensor(98.5060),"tensor(0.6680, device='cuda:0')",tensor(83.8300)
54,"tensor(0.0444, device='cuda:0')",0.0,tensor(98.5160),"tensor(0.8430, device='cuda:0')",tensor(81.8300)
55,"tensor(0.0335, device='cuda:0')",0.0,tensor(98.8880),"tensor(0.7642, device='cuda:0')",tensor(84.1400)
56,"tensor(0.0363, device='cuda:0')",0.0,tensor(98.7680),"tensor(0.7919, device='cuda:0')",tensor(82.3400)
57,"tensor(0.0463, device='cuda:0')",0.0,tensor(98.4080),"tensor(0.6849, device='cuda:0')",tensor(83.8700)
58,"tensor(0.0378, device='cuda:0')",0.0,tensor(98.7140),"tensor(0.7074, device='cuda:0')",tensor(84.0300)
59,"tensor(0.0392, device='cuda:0')",0.0,tensor(98.6900),"tensor(0.7055, device='cuda:0')",tensor(82.8700)
60,"tensor(0.0427, device='cuda:0')",0.0,tensor(98.5120),"tensor(0.7762, device='cuda:0')",tensor(82.4300)
61,"tensor(0.0416, device='cuda:0')",0.0,tensor(98.5960),"tensor(0.7904, device='cuda:0')",tensor(82.6700)
62,"tensor(0.0418, device='cuda:0')",0.0,tensor(98.5940),"tensor(0.7128, device='cuda:0')",tensor(83.1600)
63,"tensor(0.0303, device='cuda:0')",0.0,tensor(98.9660),"tensor(0.8362, device='cuda:0')",tensor(82.5000)
64,"tensor(0.0490, device='cuda:0')",0.0,tensor(98.2740),"tensor(0.8734, device='cuda:0')",tensor(81.)
65,"tensor(0.0449, device='cuda:0')",0.0,tensor(98.5140),"tensor(0.8270, device='cuda:0')",tensor(80.7000)
66,"tensor(0.0347, device='cuda:0')",0.0,tensor(98.8360),"tensor(0.7099, device='cuda:0')",tensor(83.6400)
67,"tensor(0.0420, device='cuda:0')",0.0,tensor(98.5780),"tensor(0.7618, device='cuda:0')",tensor(83.4900)
68,"tensor(0.0401, device='cuda:0')",0.0,tensor(98.6400),"tensor(0.7087, device='cuda:0')",tensor(83.8000)
69,"tensor(0.0432, device='cuda:0')",0.0,tensor(98.5160),"tensor(0.6572, device='cuda:0')",tensor(84.6100)
70,"tensor(0.0345, device='cuda:0')",0.0,tensor(98.8620),"tensor(0.7394, device='cuda:0')",tensor(83.3400)
71,"tensor(0.0459, device='cuda:0')",0.0,tensor(98.4700),"tensor(0.6490, device='cuda:0')",tensor(84.4700)
72,"tensor(0.0413, device='cuda:0')",0.0,tensor(98.6140),"tensor(0.8332, device='cuda:0')",tensor(81.8100)
